token,rating,date,version,used_count
for,3,2020-02-11,8.2,1
for,3,2020-06-20,8.8,1
for,3,2020-05-02,,1
for,3,2020-05-15,8.8,1
for,3,2019-05-05,7.4,1
for,3,2019-04-08,7.02,1
for,3,2019-03-05,6.9,2
for,3,2019-03-08,6.9,1
for,3,2019-05-24,,1
paytm,3,2020-10-24,9.2,3
paytm,3,2020-08-23,8.8,1
paytm,3,2020-03-26,8.7,1
paytm,3,2020-04-30,8.7,1
paytm,3,2020-06-09,8.8,1
paytm,3,2020-01-10,8.2,1
paytm,3,2020-10-14,9.0,3
paytm,3,2019-02-12,6.8,1
paytm,3,2019-05-10,7.5,1
paytm,3,2019-04-23,7.4,1
paytm,3,2020-08-20,8.8,1
paytm,3,2019-10-26,8.0,1
paytm,3,2020-06-06,8.8,1
paytm,3,2018-12-29,6.6,1
paytm,3,2019-06-14,7.6,1
paytm,3,2020-09-30,,1
paytm,3,2019-12-07,8.2,2
paytm,3,2019-11-19,8.0,1
paytm,3,2019-10-19,,1
paytm,3,2019-07-23,7.7,1
paytm,3,2019-06-18,7.6,1
paytm,3,2020-02-18,8.2,1
paytm,3,2020-05-12,8.8,1
paytm,3,2020-06-16,8.8,1
paytm,3,2019-07-22,,1
paytm,3,2019-08-04,7.6,1
paytm,3,2019-04-25,7.4,1
paytm,3,2019-01-05,6.6,1
paytm,3,2020-03-08,8.2,1
paytm,3,2020-11-02,9.2,1
paytm,3,2020-06-04,8.8,1
paytm,3,2019-05-11,7.5,1
paytm,3,2019-05-24,7.5,1
paytm,3,2019-05-15,7.5,1
paytm,3,2019-04-13,7.02,1
paytm,3,2019-04-08,7.02,1
paytm,3,2019-03-18,7.02,1
paytm,3,2019-03-09,6.9,1
paytm,3,2019-02-20,6.9,1
paytm,3,2020-01-22,,1
paytm,3,2020-10-03,,1
paytm,3,2020-11-12,,1
paytm,3,2019-06-19,,1
number,3,2020-10-24,9.2,3
number,3,2020-10-14,9.0,2
number,3,2020-06-16,8.8,1
number,3,2020-06-04,8.8,1
after,3,2020-10-24,9.2,1
after,3,2020-08-23,8.8,1
after,3,2019-07-13,7.7,1
after,3,2019-08-03,7.7,1
after,3,2020-07-22,8.8,1
after,3,2020-04-10,8.7,1
after,3,2019-04-10,,1
after,3,2019-04-25,7.02,1
after,3,2019-04-25,7.4,1
after,3,2020-05-12,8.8,1
after,3,2020-08-27,9.0,1
after,3,2020-05-04,8.8,1
after,3,2020-07-21,8.8,2
after,3,2020-06-18,8.8,1
after,3,2019-11-10,8.0,1
after,3,2020-04-23,8.7,1
after,3,2019-09-13,7.91,2
after,3,2020-05-22,8.8,1
after,3,2020-06-14,8.8,1
after,3,2020-05-19,8.8,1
after,3,2020-01-10,8.2,2
after,3,2019-01-29,6.7,1
after,3,2020-07-05,8.8,1
after,3,2020-05-16,8.8,1
after,3,2019-06-09,7.6,1
after,3,2019-05-21,7.5,1
after,3,2019-04-26,7.4,1
after,3,2019-07-09,7.6,1
after,3,2019-05-05,7.4,1
after,3,2019-04-11,7.02,1
after,3,2019-10-03,,1
after,3,2019-08-15,,1
after,3,2020-04-03,8.7,1
after,3,2019-08-02,7.7,1
after,3,2019-06-30,7.7,1
after,3,2020-03-05,8.2,1
after,3,2019-04-13,7.02,2
after,3,2019-02-06,,1
after,3,2020-04-02,8.7,1
after,3,2020-09-04,,1
after,3,2019-12-07,8.2,1
after,3,2019-01-19,,2
after,3,2019-05-14,7.5,1
after,3,2019-12-26,8.2,1
after,3,2019-05-18,6.9,1
after,3,2019-06-18,7.6,1
after,3,2019-07-10,7.7,2
after,3,2019-05-11,7.5,1
after,3,2019-05-24,7.5,1
after,3,2019-05-24,,1
after,3,2019-04-29,7.4,1
after,3,2019-04-08,7.02,2
after,3,2019-03-05,6.9,1
after,3,2019-03-08,6.9,1
after,3,2019-02-20,6.9,1
after,3,2019-03-04,6.9,1
then,3,2020-10-24,9.2,1
then,3,2020-11-07,9.2,1
then,3,2019-08-03,7.7,1
then,3,2020-05-05,8.7,1
then,3,2020-05-07,8.8,1
then,3,2020-01-31,8.2,1
then,3,2020-06-09,8.8,1
then,3,2020-05-23,8.8,1
then,3,2019-05-05,7.4,1
then,3,2019-11-20,8.0,1
cant,3,2020-10-24,9.2,2
cant,3,2020-07-05,8.8,2
cant,3,2020-07-10,8.8,1
cant,3,2019-02-21,6.9,1
cant,3,2019-08-24,7.7,1
change,3,2020-10-24,9.2,1
change,3,2019-08-12,,1
change,3,2020-06-04,8.8,1
registered,3,2020-10-24,9.2,1
registered,3,2020-07-03,8.8,1
registered,3,2020-02-23,8.2,1
frizza,3,2020-10-24,9.2,1
frizza,3,2020-11-04,9.0,2
frizza,3,2020-09-24,,1
frizza,3,2020-05-07,8.8,1
frizza,3,2020-05-10,8.8,1
frizza,3,2020-07-22,8.8,1
frizza,3,2020-07-03,8.8,1
frizza,3,2020-03-30,,1
frizza,3,2020-08-06,8.8,1
frizza,3,2020-01-31,8.2,1
frizza,3,2020-10-30,,1
frizza,3,2020-10-03,9.0,1
frizza,3,2019-06-14,7.6,1
frizza,3,2020-02-23,8.2,1
frizza,3,2019-11-10,8.0,2
frizza,3,2019-12-26,8.2,1
frizza,3,2020-03-25,8.7,1
frizza,3,2020-04-04,8.7,2
frizza,3,2019-01-05,6.6,1
frizza,3,2020-04-16,8.7,1
frizza,3,2020-04-12,8.7,1
frizza,3,2019-07-11,,1
transfer,3,2020-10-24,9.2,1
transfer,3,2020-11-01,9.2,1
transfer,3,2020-09-19,,1
transfer,3,2020-08-31,,1
transfer,3,2020-07-06,8.8,2
transfer,3,2020-03-26,8.7,1
transfer,3,2019-02-16,6.9,1
transfer,3,2020-05-04,8.8,1
transfer,3,2020-04-26,8.7,1
transfer,3,2020-01-10,8.2,3
transfer,3,2019-12-25,8.2,1
transfer,3,2020-10-14,9.0,1
transfer,3,2020-04-25,8.7,1
transfer,3,2019-05-10,7.5,1
transfer,3,2019-05-21,7.5,1
transfer,3,2020-01-19,8.2,1
transfer,3,2020-05-24,8.8,1
transfer,3,2020-08-20,8.8,1
transfer,3,2019-10-26,8.0,2
transfer,3,2019-12-06,8.2,1
transfer,3,2019-06-14,7.6,1
transfer,3,2019-04-04,7.02,1
transfer,3,2019-11-19,8.0,1
transfer,3,2019-07-23,7.7,1
transfer,3,2019-07-22,,1
transfer,3,2019-08-04,7.6,1
transfer,3,2019-04-25,7.4,1
transfer,3,2019-06-11,7.5,1
transfer,3,2019-07-10,7.7,1
transfer,3,2019-04-13,7.02,1
transfer,3,2019-04-08,7.02,1
transfer,3,2019-03-18,7.02,1
transfer,3,2019-03-05,6.9,2
transfer,3,2019-03-09,6.9,1
transfer,3,2019-02-20,6.9,1
transfer,3,2019-03-03,6.9,1
transfer,3,2019-03-03,,1
transfer,3,2019-03-04,6.9,1
money,3,2020-10-24,9.2,1
money,3,2020-10-21,9.0,1
money,3,2020-11-04,9.0,2
money,3,2020-10-09,9.0,2
money,3,2020-11-01,9.2,1
money,3,2020-10-13,9.0,1
money,3,2020-08-23,8.8,1
money,3,2020-09-24,,2
money,3,2020-09-24,9.0,2
money,3,2020-10-26,,1
money,3,2019-07-13,7.7,2
money,3,2019-08-03,7.7,2
money,3,2020-07-22,8.8,1
money,3,2020-07-22,,1
money,3,2020-05-05,8.7,1
money,3,2020-05-05,,1
money,3,2020-05-05,8.8,2
money,3,2020-05-22,8.8,3
money,3,2020-08-16,8.8,2
money,3,2020-07-05,8.8,1
money,3,2020-10-28,,2
money,3,2019-04-25,7.02,1
money,3,2019-04-25,7.4,1
money,3,2020-05-12,8.8,5
money,3,2020-07-06,8.8,2
money,3,2020-05-04,8.8,2
money,3,2020-09-19,,1
money,3,2020-05-10,8.8,1
money,3,2020-05-10,,1
money,3,2020-08-31,,1
money,3,2019-07-23,7.7,1
money,3,2020-06-28,8.8,1
money,3,2020-06-28,,2
money,3,2019-10-08,8.0,1
money,3,2020-03-11,8.2,1
money,3,2020-06-11,,1
money,3,2020-07-09,,1
money,3,2020-04-23,8.7,1
money,3,2019-09-13,7.91,1
money,3,2020-11-03,,1
money,3,2020-02-19,8.2,1
money,3,2019-02-16,6.9,1
money,3,2020-04-28,8.7,1
money,3,2020-04-28,,1
money,3,2020-04-26,8.7,1
money,3,2019-07-31,7.7,1
money,3,2020-04-30,8.7,3
money,3,2020-06-13,8.8,1
money,3,2020-01-31,8.2,2
money,3,2020-06-09,8.8,2
money,3,2020-01-10,8.2,2
money,3,2020-03-02,8.2,1
money,3,2019-12-25,8.2,1
money,3,2020-05-16,8.8,2
money,3,2020-04-25,8.7,1
money,3,2020-03-04,8.2,1
money,3,2020-07-19,8.8,1
money,3,2019-02-12,6.8,1
money,3,2019-08-04,7.7,1
money,3,2020-05-19,8.8,1
money,3,2019-04-23,7.4,1
money,3,2020-03-14,8.2,1
money,3,2020-03-08,8.2,1
money,3,2020-05-24,,1
money,3,2020-05-24,8.8,1
money,3,2019-05-21,7.5,1
money,3,2019-12-24,8.2,1
money,3,2020-02-26,8.2,1
money,3,2020-02-26,,1
money,3,2019-04-11,7.02,1
money,3,2019-06-03,7.5,1
money,3,2020-01-19,8.2,1
money,3,2019-08-15,,1
money,3,2020-04-03,8.7,3
money,3,2019-05-17,7.5,1
money,3,2020-08-20,8.8,2
money,3,2019-10-26,8.0,2
money,3,2020-07-20,8.8,1
money,3,2020-10-03,9.0,2
money,3,2020-10-03,,2
money,3,2020-10-25,9.2,1
money,3,2020-04-17,8.7,1
money,3,2019-06-30,7.7,1
money,3,2019-12-10,8.2,1
money,3,2019-12-06,8.2,1
money,3,2020-03-05,8.2,1
money,3,2020-03-30,8.7,1
money,3,2019-09-27,7.91,1
money,3,2019-11-19,8.0,1
money,3,2020-07-03,8.8,1
money,3,2020-03-01,8.2,1
money,3,2019-02-21,6.9,1
money,3,2020-03-13,8.2,1
money,3,2020-02-14,8.2,1
money,3,2020-04-13,8.7,1
money,3,2019-02-06,,1
money,3,2019-05-05,7.4,3
money,3,2019-11-29,8.2,1
money,3,2020-04-02,8.7,1
money,3,2020-09-30,,1
money,3,2020-08-26,8.8,1
money,3,2020-03-28,8.2,1
money,3,2020-03-28,8.7,1
money,3,2020-09-04,,1
money,3,2019-02-04,6.8,1
money,3,2019-05-25,7.5,1
money,3,2020-05-31,8.8,1
money,3,2019-04-04,7.02,1
money,3,2020-09-11,,1
money,3,2019-12-07,8.2,2
money,3,2020-05-13,8.8,1
money,3,2019-01-19,,2
money,3,2019-10-19,,1
money,3,2019-05-03,7.4,1
money,3,2019-11-10,8.0,3
money,3,2019-12-26,8.2,1
money,3,2020-03-10,8.2,1
money,3,2019-12-05,8.2,1
money,3,2020-04-16,8.7,1
money,3,2019-05-18,6.9,1
money,3,2020-07-14,,1
money,3,2020-08-09,8.8,1
money,3,2019-12-01,8.2,1
money,3,2020-02-18,8.2,2
money,3,2020-02-11,8.2,1
money,3,2020-03-19,8.2,1
money,3,2020-05-15,8.8,1
money,3,2020-05-02,,1
money,3,2019-07-22,,1
money,3,2019-05-09,7.4,1
money,3,2019-01-05,6.6,1
money,3,2019-12-02,8.2,1
money,3,2019-03-01,,1
money,3,2019-12-08,8.2,1
money,3,2019-08-18,7.7,1
money,3,2020-04-19,,1
money,3,2019-11-18,8.0,1
money,3,2020-02-23,8.2,1
money,3,2019-04-20,7.4,1
money,3,2018-12-21,6.6,1
money,3,2019-06-26,7.7,1
money,3,2020-04-27,8.7,1
money,3,2020-08-02,8.8,1
money,3,2019-07-10,7.7,1
money,3,2019-05-11,7.5,1
money,3,2019-05-10,7.5,1
money,3,2019-04-29,7.4,3
money,3,2019-04-28,7.4,1
money,3,2019-04-13,7.02,2
money,3,2019-04-08,7.02,1
money,3,2019-03-05,6.9,1
money,3,2019-03-08,6.9,1
money,3,2019-03-09,6.9,1
money,3,2019-03-04,6.9,1
money,3,2019-05-24,,2
money,3,2019-03-03,,3
and,3,2020-10-24,9.2,1
and,3,2020-10-09,9.0,1
and,3,2020-10-28,,2
and,3,2020-10-18,9.0,1
and,3,2020-08-23,8.8,3
and,3,2020-09-24,,3
and,3,2020-09-24,9.0,1
and,3,2020-10-26,,1
and,3,2019-07-13,7.7,1
and,3,2019-08-03,7.7,1
and,3,2020-05-05,8.7,3
and,3,2020-05-05,,2
and,3,2020-05-05,8.8,1
and,3,2020-08-25,9.0,1
and,3,2020-04-10,8.7,4
and,3,2019-04-10,,2
and,3,2020-05-12,8.8,3
and,3,2020-05-12,,1
and,3,2020-07-06,8.8,1
and,3,2019-11-22,8.0,2
and,3,2020-06-18,8.8,1
and,3,2020-04-25,8.7,3
and,3,2020-05-10,8.8,1
and,3,2019-10-29,8.0,1
and,3,2020-04-12,8.7,2
and,3,2020-07-22,8.8,2
and,3,2020-03-11,8.2,1
and,3,2020-07-03,8.8,2
and,3,2020-03-30,,2
and,3,2020-03-30,8.7,1
and,3,2020-09-20,,1
and,3,2020-02-19,8.2,2
and,3,2020-05-16,,2
and,3,2020-05-16,8.8,2
and,3,2019-07-31,7.7,3
and,3,2020-04-30,8.7,2
and,3,2020-06-13,8.8,1
and,3,2020-04-21,8.7,1
and,3,2020-01-31,8.2,1
and,3,2020-05-13,8.8,1
and,3,2020-05-19,8.8,2
and,3,2020-01-10,8.2,2
and,3,2019-12-07,8.2,1
and,3,2019-01-29,6.7,1
and,3,2020-06-25,8.8,2
and,3,2019-02-16,6.9,1
and,3,2020-07-19,8.8,1
and,3,2020-06-28,,1
and,3,2020-07-20,8.8,1
and,3,2020-04-01,8.7,1
and,3,2020-10-30,,1
and,3,2019-12-02,8.2,2
and,3,2020-07-09,8.8,1
and,3,2019-08-10,7.7,1
and,3,2020-06-06,8.8,1
and,3,2020-04-13,8.7,1
and,3,2020-05-03,8.8,1
and,3,2020-03-22,,1
and,3,2019-04-25,7.4,5
and,3,2020-05-17,8.8,1
and,3,2020-02-23,8.2,1
and,3,2019-05-25,7.5,1
and,3,2019-02-21,6.9,1
and,3,2020-05-22,8.8,1
and,3,2020-07-10,8.8,1
and,3,2019-01-19,,2
and,3,2020-05-24,8.8,1
and,3,2019-12-26,8.2,1
and,3,2019-12-05,8.2,1
and,3,2019-11-20,8.0,1
and,3,2020-03-25,8.7,1
and,3,2020-04-04,8.7,1
and,3,2020-04-15,8.7,1
and,3,2020-05-21,8.8,1
and,3,2020-02-03,,1
and,3,2019-07-10,7.7,1
and,3,2019-05-11,7.5,1
and,3,2019-04-08,7.02,2
and,3,2019-03-03,,1
can,3,2020-10-24,9.2,2
can,3,2020-11-07,9.2,1
can,3,2020-08-23,8.8,1
can,3,2020-09-24,,1
can,3,2020-07-06,8.8,1
can,3,2020-05-24,8.8,1
can,3,2020-07-22,8.8,2
can,3,2020-06-28,8.8,1
can,3,2019-01-31,6.7,1
can,3,2020-07-19,8.8,1
can,3,2019-08-15,,2
can,3,2020-10-25,9.2,1
can,3,2019-12-24,8.2,1
can,3,2019-09-10,7.91,1
can,3,2019-05-05,7.4,2
can,3,2020-09-30,,1
can,3,2020-05-17,8.8,1
can,3,2019-10-20,8.0,1
can,3,2020-03-10,8.2,1
can,3,2019-11-20,8.0,1
can,3,2019-12-01,8.2,1
can,3,2019-04-19,7.4,1
can,3,2020-06-16,8.8,1
can,3,2019-11-07,8.0,1
can,3,2019-11-10,8.0,1
can,3,2019-04-13,7.02,1
also,3,2020-10-24,9.2,1
also,3,2020-10-28,,1
also,3,2019-07-23,7.7,1
also,3,2020-05-10,,1
also,3,2019-12-05,8.2,1
not,3,2020-10-24,9.2,2
not,3,2020-10-24,,1
not,3,2020-10-09,9.0,1
not,3,2020-11-07,9.2,1
not,3,2020-10-28,,1
not,3,2020-07-22,8.8,1
not,3,2020-07-22,,1
not,3,2020-05-22,8.8,1
not,3,2020-09-27,9.0,1
not,3,2020-04-10,8.7,1
not,3,2020-08-22,8.8,1
not,3,2020-07-21,8.8,1
not,3,2020-05-07,8.8,1
not,3,2020-06-18,8.8,2
not,3,2020-05-10,8.8,1
not,3,2019-10-29,8.0,1
not,3,2019-06-14,7.6,2
not,3,2020-07-06,8.8,1
not,3,2020-05-12,,1
not,3,2020-05-12,8.8,1
not,3,2020-09-20,,1
not,3,2020-03-26,8.7,2
not,3,2019-12-26,8.2,2
not,3,2020-11-03,,1
not,3,2020-02-19,8.2,1
not,3,2019-01-31,6.7,1
not,3,2020-05-09,8.8,1
not,3,2020-07-10,8.8,2
not,3,2020-06-02,8.8,1
not,3,2020-04-26,8.7,1
not,3,2019-07-31,7.7,3
not,3,2020-01-31,8.2,1
not,3,2020-06-09,8.8,3
not,3,2020-05-13,8.8,2
not,3,2020-01-10,8.2,3
not,3,2020-08-18,8.8,1
not,3,2019-12-07,8.2,1
not,3,2020-03-02,8.2,1
not,3,2020-10-14,9.0,2
not,3,2020-07-05,8.8,1
not,3,2020-05-23,8.8,1
not,3,2020-04-25,8.7,2
not,3,2019-02-12,6.8,1
not,3,2019-12-25,,1
not,3,2020-03-08,8.2,1
not,3,2020-09-15,9.0,1
not,3,2019-12-24,8.2,1
not,3,2019-04-26,7.4,1
not,3,2020-02-26,8.2,1
not,3,2020-02-26,,1
not,3,2019-02-16,6.9,1
not,3,2019-04-23,7.4,1
not,3,2020-08-16,8.8,1
not,3,2019-11-22,8.0,1
not,3,2020-08-20,8.8,1
not,3,2020-08-31,9.0,1
not,3,2020-11-08,9.2,1
not,3,2019-11-27,8.2,1
not,3,2020-07-01,8.8,1
not,3,2019-10-26,8.0,1
not,3,2020-04-01,8.7,1
not,3,2020-05-16,8.8,1
not,3,2020-10-03,9.0,1
not,3,2019-11-13,8.0,1
not,3,2019-12-02,8.2,2
not,3,2020-07-17,,1
not,3,2019-08-12,7.7,1
not,3,2019-06-30,7.7,1
not,3,2019-12-10,8.2,2
not,3,2020-02-20,8.2,1
not,3,2019-08-30,7.7,1
not,3,2020-03-05,8.2,1
not,3,2018-12-29,6.6,1
not,3,2019-05-14,7.5,1
not,3,2020-10-29,9.2,1
not,3,2020-02-10,8.2,1
not,3,2020-02-04,8.2,1
not,3,2020-02-04,,1
not,3,2020-03-13,8.2,1
not,3,2020-02-14,8.2,1
not,3,2020-04-13,8.7,1
not,3,2019-02-06,,1
not,3,2020-04-02,8.7,1
not,3,2020-04-03,8.7,2
not,3,2019-04-25,7.4,1
not,3,2020-08-26,8.8,1
not,3,2020-03-28,8.2,1
not,3,2020-03-28,8.7,1
not,3,2020-05-17,8.8,1
not,3,2019-10-20,8.0,1
not,3,2020-07-26,8.8,1
not,3,2019-02-21,6.9,1
not,3,2019-04-04,7.02,1
not,3,2019-11-19,8.0,1
not,3,2019-12-18,,1
not,3,2020-03-10,8.2,1
not,3,2020-03-10,,1
not,3,2019-05-18,6.9,1
not,3,2020-03-25,8.7,1
not,3,2019-04-19,7.4,1
not,3,2020-02-18,8.2,1
not,3,2019-12-28,,1
not,3,2019-10-09,,1
not,3,2019-07-22,,1
not,3,2019-01-05,6.6,1
not,3,2020-02-08,8.2,1
not,3,2020-05-29,8.8,1
not,3,2020-06-08,8.8,1
not,3,2019-06-11,7.5,1
not,3,2020-05-25,8.8,1
not,3,2019-11-10,8.0,1
